battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
993,1,1.5,0,1,0,9,0.3,89,1,3,161,759,1277,6,5,10,0,0,0,0
1037,1,1.3,1,4,0,18,0.7,141,4,8,450,1244,1416,10,3,12,1,1,1,1
1994,1,2.2,1,12,1,30,0.8,131,5,12,960,1273,2520,11,6,13,1,1,1,2
3146,1,2.7,1,12,1,32,1.4,166,7,16,1352,1522,3153,12,4,18,1,1,1,3
647,0,1.2,0,2,0,10,0.4,95,2,7,493,860,382,9,2,14,0,0,0,0
1247,1,2.1,1,5,1,9,0.7,159,4,5,873,1350,1534,7,3,9,1,1,1,1
2179,1,2.1,1,5,1,41,1.0,181,4,12,656,1109,1830,17,5,17,1,1,1,2
2364,1,3.2,1,14,1,59,1.3,172,7,13,1070,1537,3962,14,5,19,1,1,1,3
747,1,0.7,0,0,0,8,0.5,104,2,1,378,757,485,8,4,10,0,1,1,0
1545,1,1.1,1,2,0,10,0.5,126,4,4,779,987,1793,15,6,8,1,1,1,1
1674,1,1.6,1,10,1,25,1.0,189,5,9,764,1485,2860,17,3,11,1,1,1,2
2459,1,3.1,1,14,1,63,1.1,183,6,15,1184,1602,3018,17,4,14,1,1,1,3
520,1,1.1,1,4,0,11,0.5,102,2,7,363,930,682,9,4,9,0,1,1,0
1223,1,1.2,1,5,0,9,0.7,147,4,5,884,858,1427,7,6,9,1,1,1,1
1470,1,1.5,1,10,1,17,0.7,133,5,10,610,1290,2510,16,6,16,1,1,1,2
3244,1,2.5,1,13,1,51,0.9,178,7,16,1224,1981,3227,13,6,13,1,1,1,3
632,0,1.0,1,1,0,15,0.3,131,2,4,375,834,409,12,2,6,0,0,1,0
1449,1,1.1,1,4,1,28,0.8,155,4,5,495,1351,1581,12,4,12,1,1,1,1
2128,1,2.1,1,7,1,46,0.7,142,5,12,909,1084,2926,11,5,14,1,1,1,2
3445,1,2.3,1,13,1,63,1.0,185,6,18,1228,1686,3503,17,7,16,1,1,1,3
912,0,1.2,0,3,0,4,0.4,86,1,7,367,875,747,13,4,13,0,1,0,0
1178,1,1.9,1,2,0,17,0.5,138,3,6,840,1397,1389,7,6,10,1,1,1,1
1915,1,2.0,1,6,1,33,0.6,160,5,11,680,1522,2696,13,3,16,1,1,1,2
2459,1,2.3,1,13,1,47,1.2,140,6,13,1037,1540,3124,18,5,15,1,1,1,3
