ID,Brand,CPU,GPU,RAM,Storage,Screen,Operating_System,Price_USD
1,Apple,AMD Ryzen 7 7800X,NVIDIA RTX 4070 Ti,32GB DDR4,512GB SSD,"15.6"" FHD",Ubuntu 22.04,4110.36
2,Lenovo,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,128GB DDR5,2TB SSD,"15.6"" FHD",Windows 11,3502.62
3,HP,Intel Core i5-14600K,Intel Arc A770,128GB DDR5,1TB SSD,"14"" 4K",Windows 10 Pro,2707.28
4,Razer,Intel Core i9-14900K,NVIDIA RTX 4080,32GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 10 Pro,2009.16
5,Dell,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,16GB DDR4,1TB SSD,"13.3"" Retina",macOS Sonoma,4944.65
6,Dell,Intel Core i5-14600K,NVIDIA RTX 4090,64GB DDR5,2TB SSD,"14"" 4K",Windows 10 Pro,1957.67
7,HP,AMD Ryzen 7 7800X,Intel Arc A770,32GB DDR4,1TB SSD,"17.3"" QHD",Windows 11,1474.0
8,Lenovo,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",macOS Sonoma,1507.77
9,Acer,Intel Core i7-14700K,NVIDIA RTX 4080,64GB DDR5,512GB SSD,"14"" 4K",macOS Sonoma,3515.53
10,Acer,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD,"13.3"" Retina",Ubuntu 22.04,4848.63
11,Acer,AMD Ryzen 9 7950X,NVIDIA RTX 4080,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 10 Pro,2387.88
12,Microsoft,Intel Core i5-14600K,AMD Radeon RX 7800 XT,32GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 11,4523.36
13,Microsoft,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD,"15.6"" FHD",macOS Sonoma,3288.77
14,Dell,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,16GB DDR4,512GB SSD,"17.3"" QHD",Windows 11,4660.64
